1974.7421203438394, 0.21844660194175392, 0.27305825
1974.914040114613, 6.217248937900877e-15, 0.2184466 
1976.9770773638968, -0.4368932038834892, 0.16383495
1977.5787965616046, -0.10922330097086741, 0.16383495
1977.9226361031517, -0.655339805825236, 0.1092233
1978.266475644699, -0.4368932038834892, 0.1092233
1978.4383954154728, -0.655339805825236, 0.1092233
1978.78223495702, -0.655339805825236, 0.05461165
1979.297994269341, -0.8737864077669846, 0.05461165
1980.0716332378222, -1.310679611650479, 0.1092233
1980.5873925501432, -1.4199029126213532, -99
1981.189111747851, -1.7475728155339745, -99
1981.9627507163323, -2.184466019417469, -99
1982.56446991404, -2.6213592233009653, -99
1983.510028653295, -3.276699029126208, -99
1984.4555873925501, -4.041262135922324, -99
1985.487106017192, -4.9150485436893145, -99
1987.2063037249284, -6.662621359223296, -99
1988.4957020057307, -8.191747572815528, -99
1989.6131805157593, -9.502427184466015, -99
1990.9025787965616, -11.249999999999995, -99
1992.2779369627506, -13.21601941747572, -99
1998.5530085959886, -24.466019417475724, -99
1999.5845272206302, -26.432038834951456, -99
2001.647564469914, -31.019417475728154, -99
2003.452722063037, -35.279126213592235, -99
2006.5472779369627, -43.58009708737864, -99
